FID,Name,TotChild,OlderAdult,MedIllnes,POC2,LEP,Low_to_No,TotDis,MBTA_Stops_Count,Bus_Stops_Count,Blue_Bikes_Stations_Count,Blue_Bikes_Docks_Count,Air_Quality_Tooltip
56,Fenway,34,42,540.77,412,496,454,5,0,0,0,0,NO2: 29.223146067415733<br>O3: 19.595730337078653<br>PM10: 32.15174157303371<br>PM2.5: 13.568876404494382<br>SO2: 0.2462359550561797<br>AQI: 52.01685393258427<br>Category: Moderate air quality<br>ZipCode: 2115<br>
57,Brighton,15,147,893.44,472,598,451,71,3,0,0,0,NO2: 23.04308988764045<br>O3: 20.122865168539324<br>PM10: 26.64601123595505<br>PM2.5: 9.72073033707865<br>SO2: 0.2541573033707865<br>AQI: 38.7752808988764<br>Category: Good air quality<br>ZipCode: 2135<br>
58,North End,11,199,702.05,142,599,400,94,0,2,1,19,NO2: 21.484494382022472<br>O3: 20.12174157303371<br>PM10: 22.872752808988764<br>PM2.5: 11.129101123595506<br>SO2: 0.2825280898876404<br>AQI: 43.12921348314607<br>Category: Good air quality<br>ZipCode: 2113<br>
59,North End,69,217,848.11,136,798,581,104,0,0,0,0,NO2: 21.484494382022472<br>O3: 20.12174157303371<br>PM10: 22.872752808988764<br>PM2.5: 11.129101123595506<br>SO2: 0.2825280898876404<br>AQI: 43.12921348314607<br>Category: Good air quality<br>ZipCode: 2113<br>
60,West End,250,170,1482.61,610,972,802,135,1,0,1,19,NO2: 25.640280898876405<br>O3: 19.857752808988764<br>PM10: 19.35443820224719<br>PM2.5: 10.14443820224719<br>SO2: 0.2646629213483146<br>AQI: 40.86516853932584<br>Category: Good air quality<br>ZipCode: 2114<br>
61,Back Bay,151,683,1246.18,699,1029,346,293,2,5,5,84,NO2: 24.538483146067417<br>O3: 19.60376404494382<br>PM10: 25.192078651685392<br>PM2.5: 10.348483146067416<br>SO2: 0.2798876404494382<br>AQI: 41.00561797752809<br>Category: Good air quality<br>ZipCode: 2199<br>
62,Back Bay,33,511,1251.06,1074,1591,1080,433,0,5,2,34,NO2: 24.538483146067417<br>O3: 19.60376404494382<br>PM10: 25.192078651685392<br>PM2.5: 10.348483146067416<br>SO2: 0.2798876404494382<br>AQI: 41.00561797752809<br>Category: Good air quality<br>ZipCode: 2199<br>
63,Longwood Medical Area,118,11,1824.08,1480,197,186,207,0,13,5,81,NO2: 23.43455056179776<br>O3: 19.676685393258428<br>PM10: 31.163764044943814<br>PM2.5: 9.611460674157303<br>SO2: 0.2278089887640449<br>AQI: 38.061797752808985<br>Category: Good air quality<br>ZipCode: 2215<br>
64,Brighton,469,220,3004.1,3844,3601,3381,639,0,20,3,61,NO2: 24.231629213483146<br>O3: 19.90612359550562<br>PM10: 27.68831460674157<br>PM2.5: 10.316910112359553<br>SO2: 0.2320224719101123<br>AQI: 41.59550561797753<br>Category: Good air quality<br>ZipCode: 2134<br>
65,Brighton,102,126,1708.7,1396,1302,1176,190,2,0,1,15,NO2: 24.231629213483146<br>O3: 19.90612359550562<br>PM10: 27.68831460674157<br>PM2.5: 10.316910112359553<br>SO2: 0.2320224719101123<br>AQI: 41.59550561797753<br>Category: Good air quality<br>ZipCode: 2134<br>
66,Dorchester,0,0,0.0,0,0,0,0,0,4,2,42,NO2: 12.616573033707866<br>O3: 20.755955056179776<br>PM10: 9.26561797752809<br>PM2.5: 6.131516853932585<br>SO2: 0.3711797752808989<br>AQI: 26.84831460674157<br>Category: Good air quality<br>ZipCode: 2212<br>
67,Back Bay,0,0,5.04,5,0,0,0,0,0,0,0,NO2: 23.15747191011236<br>O3: 20.077808988764044<br>PM10: 28.21662921348315<br>PM2.5: 12.616797752808989<br>SO2: 0.2308988764044943<br>AQI: 47.89325842696629<br>Category: Good air quality<br>ZipCode: 2163<br>
68,Back Bay,0,0,0.0,0,0,0,0,1,2,2,50,NO2: 27.4473595505618<br>O3: 19.82191011235955<br>PM10: 26.734101123595504<br>PM2.5: 10.98129213483146<br>SO2: 0.2879775280898876<br>AQI: 43.39887640449438<br>Category: Good air quality<br>ZipCode: 2108<br>
69,Jamaica Plain,0,8,43.24,11,8,0,0,0,0,0,0,NO2: 29.223146067415733<br>O3: 19.595730337078653<br>PM10: 32.15174157303371<br>PM2.5: 13.568876404494382<br>SO2: 0.2462359550561797<br>AQI: 52.01685393258427<br>Category: Moderate air quality<br>ZipCode: 2115<br>
70,Mattapan,691,219,973.51,2750,716,497,387,0,8,0,0,NO2: 17.48191011235955<br>O3: 23.086516853932583<br>PM10: 17.40943820224719<br>PM2.5: 8.719943820224719<br>SO2: 0.3892134831460674<br>AQI: 34.70224719101124<br>Category: Good air quality<br>ZipCode: 2126<br>
71,Jamaica Plain,1177,292,1113.61,2872,2414,2122,557,1,6,2,34,NO2: 23.40325842696629<br>O3: 19.57561797752809<br>PM10: 27.918483146067416<br>PM2.5: 10.563988764044945<br>SO2: 0.3456741573033708<br>AQI: 41.58988764044944<br>Category: Good air quality<br>ZipCode: 2120<br>
72,Jamaica Plain,443,610,1713.58,2138,2188,1578,314,2,17,0,0,NO2: 23.40325842696629<br>O3: 19.57561797752809<br>PM10: 27.918483146067416<br>PM2.5: 10.563988764044945<br>SO2: 0.3456741573033708<br>AQI: 41.58988764044944<br>Category: Good air quality<br>ZipCode: 2120<br>
