date,zip_code,ReportingArea,StateCode,Latitude,Longitude,OZONEAQI,PM2.5AQI,PM10AQI,CategoryNumber,CategoryName
2022-06-20,2045,Weymouth,MA,42.2459,-70.9628,36.0,22.0,,1.0,Good
2022-06-21,2045,Weymouth,MA,42.2459,-70.9628,42.0,25.0,,1.0,Good
2022-06-22,2045,Weymouth,MA,42.2459,-70.9628,30.0,21.0,,1.0,Good
2022-06-23,2045,Weymouth,MA,42.2459,-70.9628,38.0,23.0,,1.0,Good
2022-06-24,2045,Weymouth,MA,42.2459,-70.9628,50.0,25.0,,1.0,Good
2022-06-25,2045,Weymouth,MA,42.2459,-70.9628,39.0,42.0,,1.0,Good
2022-06-26,2045,Weymouth,MA,42.2459,-70.9628,71.0,47.0,,2.0,Moderate
2022-06-27,2045,Weymouth,MA,42.2459,-70.9628,24.0,19.0,,1.0,Good
2022-06-28,2045,Weymouth,MA,42.2459,-70.9628,43.0,18.0,,1.0,Good
2022-06-29,2045,Weymouth,MA,42.2459,-70.9628,43.0,22.0,,1.0,Good
2022-06-30,2045,Weymouth,MA,42.2459,-70.9628,44.0,24.0,,1.0,Good
2022-07-01,2045,Weymouth,MA,42.2459,-70.9628,97.0,45.0,,2.0,Moderate
2022-07-02,2045,Weymouth,MA,42.2459,-70.9628,45.0,26.0,,1.0,Good
2022-07-03,2045,Weymouth,MA,42.2459,-70.9628,34.0,25.0,,1.0,Good
2022-07-04,2045,Weymouth,MA,42.2459,-70.9628,31.0,27.0,,1.0,Good
2022-07-05,2045,Weymouth,MA,42.2459,-70.9628,37.0,36.0,,1.0,Good
2022-07-06,2045,Weymouth,MA,42.2459,-70.9628,36.0,22.0,,1.0,Good
2022-07-07,2045,Weymouth,MA,42.2459,-70.9628,34.0,25.0,,1.0,Good
2022-07-08,2045,Weymouth,MA,42.2459,-70.9628,43.0,25.0,,1.0,Good
2022-07-09,2045,Weymouth,MA,42.2459,-70.9628,28.0,28.0,,1.0,Good
2022-07-10,2045,Weymouth,MA,42.2459,-70.9628,32.0,20.0,,1.0,Good
2022-07-11,2045,Weymouth,MA,42.2459,-70.9628,48.0,27.0,,1.0,Good
2022-07-12,2045,Weymouth,MA,42.2459,-70.9628,42.0,26.0,,1.0,Good
2022-07-13,2045,Weymouth,MA,42.2459,-70.9628,61.0,29.0,,2.0,Moderate
2022-07-14,2045,Weymouth,MA,42.2459,-70.9628,51.0,37.0,,2.0,Moderate
2022-07-15,2045,Weymouth,MA,42.2459,-70.9628,45.0,29.0,,1.0,Good
2022-07-16,2045,Weymouth,MA,42.2459,-70.9628,43.0,33.0,,1.0,Good
2022-07-17,2045,Weymouth,MA,42.2459,-70.9628,67.0,37.0,,2.0,Moderate
2022-07-18,2045,Weymouth,MA,42.2459,-70.9628,39.0,31.0,,1.0,Good
2022-07-19,2045,Weymouth,MA,42.2459,-70.9628,48.0,28.0,,1.0,Good
2022-07-20,2045,Weymouth,MA,42.2459,-70.9628,71.0,47.0,,2.0,Moderate
2022-07-21,2045,Weymouth,MA,42.2459,-70.9628,47.0,51.0,,1.0,Good
2022-07-22,2045,Weymouth,MA,42.2459,-70.9628,50.0,48.0,,1.0,Good
2022-07-23,2045,Weymouth,MA,42.2459,-70.9628,84.0,44.0,,2.0,Moderate
2022-07-24,2045,Weymouth,MA,42.2459,-70.9628,105.0,51.0,,3.0,Unhealthy for Sensitive Groups
2022-07-25,2045,Weymouth,MA,42.2459,-70.9628,44.0,46.0,,1.0,Good
2022-07-26,2045,Weymouth,MA,42.2459,-70.9628,40.0,18.0,,1.0,Good
2022-07-27,2045,Weymouth,MA,42.2459,-70.9628,50.0,20.0,,1.0,Good
2022-07-28,2045,Weymouth,MA,42.2459,-70.9628,54.0,31.0,,2.0,Moderate
2022-07-29,2045,Weymouth,MA,42.2459,-70.9628,77.0,32.0,,2.0,Moderate
2022-07-30,2045,Weymouth,MA,42.2459,-70.9628,33.0,20.0,,1.0,Good
2022-07-31,2045,Weymouth,MA,42.2459,-70.9628,35.0,25.0,,1.0,Good
2022-08-01,2045,Weymouth,MA,42.2459,-70.9628,48.0,21.0,,1.0,Good
2022-08-02,2045,Weymouth,MA,42.2459,-70.9628,51.0,29.0,,2.0,Moderate
2022-08-03,2045,Weymouth,MA,42.2459,-70.9628,34.0,21.0,,1.0,Good
2022-08-04,2045,Weymouth,MA,42.2459,-70.9628,93.0,34.0,,2.0,Moderate
2022-08-05,2045,Weymouth,MA,42.2459,-70.9628,67.0,35.0,,2.0,Moderate
2022-08-06,2045,Weymouth,MA,42.2459,-70.9628,64.0,33.0,,2.0,Moderate
2022-08-07,2045,Weymouth,MA,42.2459,-70.9628,38.0,26.0,,1.0,Good
2022-08-08,2045,Weymouth,MA,42.2459,-70.9628,44.0,26.0,,1.0,Good
2022-08-09,2045,Weymouth,MA,42.2459,-70.9628,46.0,32.0,,1.0,Good
2022-08-10,2045,Weymouth,MA,42.2459,-70.9628,23.0,22.0,,1.0,Good
2022-08-11,2045,Weymouth,MA,42.2459,-70.9628,31.0,28.0,,1.0,Good
2022-08-12,2045,Weymouth,MA,42.2459,-70.9628,32.0,22.0,,1.0,Good
2022-08-13,2045,Weymouth,MA,42.2459,-70.9628,22.0,20.0,,1.0,Good
2022-08-14,2045,Weymouth,MA,42.2459,-70.9628,34.0,19.0,,1.0,Good
2022-08-15,2045,Weymouth,MA,42.2459,-70.9628,45.0,22.0,,1.0,Good
2022-08-16,2045,Weymouth,MA,42.2459,-70.9628,34.0,22.0,,1.0,Good
2022-08-17,2045,Weymouth,MA,42.2459,-70.9628,30.0,28.0,,1.0,Good
2022-08-18,2045,Weymouth,MA,42.2459,-70.9628,34.0,24.0,,1.0,Good
2022-08-19,2045,Weymouth,MA,42.2459,-70.9628,48.0,37.0,,1.0,Good
2022-08-20,2045,Weymouth,MA,42.2459,-70.9628,84.0,44.0,,2.0,Moderate
2022-08-21,2045,Weymouth,MA,42.2459,-70.9628,46.0,33.0,,1.0,Good
2022-08-22,2045,Weymouth,MA,42.2459,-70.9628,30.0,30.0,,1.0,Good
2022-08-23,2045,Weymouth,MA,42.2459,-70.9628,27.0,15.0,,1.0,Good
2022-08-24,2045,Weymouth,MA,42.2459,-70.9628,44.0,22.0,,1.0,Good
2022-08-25,2045,Weymouth,MA,42.2459,-70.9628,47.0,30.0,,1.0,Good
2022-08-26,2045,Weymouth,MA,42.2459,-70.9628,58.0,38.0,,2.0,Moderate
2022-08-27,2045,Weymouth,MA,42.2459,-70.9628,31.0,31.0,,1.0,Good
2022-08-28,2045,Weymouth,MA,42.2459,-70.9628,27.0,25.0,,1.0,Good
2022-08-29,2045,Weymouth,MA,42.2459,-70.9628,47.0,30.0,,1.0,Good
2022-08-30,2045,Weymouth,MA,42.2459,-70.9628,42.0,24.0,,1.0,Good
2022-08-31,2045,Weymouth,MA,42.2459,-70.9628,40.0,20.0,,1.0,Good
