date,min,max,median,q1,q3,stdev,count
2022-09-27T00:00:00.000Z,1.3,75.4,6.4,4.1,7.9,4.849,602
2022-09-28T00:00:00.000Z,0.5,34.3,3.3,1.7,3.8,2.818,631
2022-09-29T00:00:00.000Z,1.2,18.5,2.8,2.3,3.6,1.624,591
2022-09-30T00:00:00.000Z,2,26.7,3.7,3.2,4.3,1.645,597
2022-10-01T00:00:00.000Z,2.2,13.2,8.1,6.1,9.5,2.265,643
2022-10-02T00:00:00.000Z,0.1,9.1,3.1,0.8,4.7,2.347,607
2022-10-03T00:00:00.000Z,0,5.9,0.8,0.5,1.2,0.555,579
2022-10-04T00:00:00.000Z,0.1,8.4,1.4,0.8,2.2,0.858,592
2022-10-05T00:00:00.000Z,0.3,3.9,1.7,1.2,2.4,0.753,601
2022-10-06T00:00:00.000Z,0.6,15.1,3.3,2.4,4.3,2.039,614
2022-10-07T00:00:00.000Z,5.5,63,8,6.8,10.4,6.254,638
2022-10-08T00:00:00.000Z,0,13.1,1.75,0.7,2.6,2.99,594
2022-10-09T00:00:00.000Z,1.8,7.4,3.4,3,3.7,0.813,616
2022-10-10T00:00:00.000Z,4.6,253.8,9,7.45,13.95,30.497,637
2022-10-11T00:00:00.000Z,2.7,62.5,12.8,6.25,19.3,7.468,645
2022-10-12T00:00:00.000Z,7.5,55.9,12.1,10.1,14,5.682,635
2022-10-13T00:00:00.000Z,3.8,46.1,12.6,8.69,14,3.825,649
2022-10-14T00:00:00.000Z,0.2,8.2,2.9,1.8,3.95,1.686,589
2022-10-15T00:00:00.000Z,1.1,19.1,3.8,3.1,5.2,3.257,598
2022-10-16T00:00:00.000Z,10.3,26.3,13.8,12.4,16.89,3.558,633
2022-10-17T00:00:00.000Z,10.5,52.6,20.9,17,29.2,7.381,643
2022-10-18T00:00:00.000Z,3.6,18.4,8.9,7.6,12.35,3.186,464
2022-10-21T00:00:00.000Z,3.7,119.7,6.2,5.2,8.65,9.097,577
2022-10-22T00:00:00.000Z,6.9,31.8,11.6,9.6,13,2.555,628
2022-10-23T00:00:00.000Z,8.8,32.7,20.1,13.6,24.35,6.477,664
2022-10-24T00:00:00.000Z,3.6,16.5,6.75,5.4,9.4,2.932,646
2022-10-25T00:00:00.000Z,1.3,198,7.4,5.8,11,13.817,640
2022-10-26T00:00:00.000Z,0.4,144,3.6,2.3,5.5,9.034,643
2022-10-27T00:00:00.000Z,0,107.6,7.8,1.4,10.1,9.862,632
2022-10-28T00:00:00.000Z,0.6,22.5,1.8,1.3,2.7,2.13,615
2022-10-29T00:00:00.000Z,0.8,25.8,8.3,2.6,11.3,4.652,608
2022-10-30T00:00:00.000Z,1.3,33.3,17.39,10,23.4,7.888,647
2022-10-31T00:00:00.000Z,2.3,206.7,7.5,4.9,9.4,20.709,655
2022-11-01T00:00:00.000Z,4.5,31.9,10.7,7,13.4,4.309,645
2022-11-02T00:00:00.000Z,4.1,48,10.7,8.5,14.1,5.25,655
2022-11-03T00:00:00.000Z,4.7,56,13.9,9.3,21.5,7.314,615
2022-11-04T00:00:00.000Z,2.6,64.6,5.8,4.9,8,4.292,638
2022-11-05T00:00:00.000Z,1.4,127.4,3.4,2.6,5.5,10.666,651
2022-11-06T00:00:00.000Z,1.5,8.6,2.9,2.4,3.6,1.131,649
2022-11-07T00:00:00.000Z,0.8,66,3.1,2.3,5.6,8.603,643
2022-11-08T00:00:00.000Z,0.1,78.9,1.8,1.1,2.2,6.105,587
2022-11-09T00:00:00.000Z,0.5,203.7,2,1.6,3.15,17.386,629
2022-11-10T00:00:00.000Z,1.9,58,3.7,3.2,5,6.185,653
2022-11-11T00:00:00.000Z,1.5,225.2,4.2,3,5.4,19.527,612
2022-11-12T00:00:00.000Z,0,10.7,2.9,1.7,4,1.677,585
2022-11-13T00:00:00.000Z,2.6,8.3,4.8,4.3,5.3,0.835,634
2022-11-14T00:00:00.000Z,0,48.4,0.8,0.5,1.2,3.339,585
2022-11-15T00:00:00.000Z,1.4,105.6,3.7,3.2,4.4,9.268,632
2022-11-16T00:00:00.000Z,0,15.3,3.1,1.7,6.1,2.977,625
2022-11-17T00:00:00.000Z,1.8,117.3,8,6.1,11.2,11.023,627
2022-11-18T00:00:00.000Z,0.4,149.9,4.5,2.7,8.6,7.669,629
2022-11-19T00:00:00.000Z,6.8,407.6,17.8,13.6,23.8,37.554,651
2022-11-20T00:00:00.000Z,0.4,25.6,15.4,2.8,17.9,7.386,631
2022-11-21T00:00:00.000Z,0,224.7,3.3,0.5,10.6,29.77,582
2022-11-22T00:00:00.000Z,5.2,64.1,9.4,8.3,11,5.477,658
2022-11-23T00:00:00.000Z,9.9,91.4,21.75,17,24.8,5.844,656
